word,category
"idiot","harassment"
"moron","harassment"
"loser","harassment"
"shut up","harassment"
"get lost","harassment"
"worthless","harassment"
"go to hell","harassment"
"pathetic","harassment"
"scumbag","harassment"
"piece of trash","harassment"
"n-word","hate_speech"
"kike","hate_speech"
"chink","hate_speech"
"go back to your country","hate_speech"
"subhuman","hate_speech"
"exterminate","hate_speech"
"faggot","hate_speech"
"dirty [protected group]","hate_speech"
"fuck","sexual_content"
"blowjob","sexual_content"
"penetration","sexual_content"
"naked","sexual_content"
"horny","sexual_content"
"sex","sexual_content"
"fuck me","sexual_content"
"porn","sexual_content"
"masturbation","sexual_content"
"oral sex","sexual_content"
"kill","violence"
"murder","violence"
"stab","violence"
"shoot","violence"
"beat","violence"
"choke","violence"
"execute","violence"
"bomb","violence"
"massacre","violence"
"lynch","violence"
"scam","fraud"
"phishing","fraud"
"fake invoice","fraud"
"get rich quick","fraud"
"advance fee","fraud"
"spoof","fraud"
"con artist","fraud"
"fraudulent transfer","fraud"
"chargeback fraud","fraud"
"social engineer","fraud"
"buy now","spam"
"click here","spam"
"limited time offer","spam"
"free gift","spam"
"act now","spam"
"subscribe","spam"
"winner","spam"
"claim prize","spam"
"unsolicited bulk","spam"
"hot deal","spam"
"virus","malware"
"trojan","malware"
"ransomware","malware"
"keylogger","malware"
"exploit","malware"
"payload","malware"
"backdoor","malware"
"remote shell","malware"
"encrypt files","malware"
"malware installer","malware"
"leak password","privacy_risk"
"share ssn","privacy_risk"
"full name and address","privacy_risk"
"credit card number","privacy_risk"
"doxx","privacy_risk"
"expose personal info","privacy_risk"
"private photograph","privacy_risk"
"phone number request","privacy_risk"
"kill myself","self_harm"
"I want to die","self_harm"
"how to commit suicide","self_harm"
"cut myself","self_harm"
"overdose instructions","self_harm"
"end my life","self_harm"
"hang myself","self_harm"
"fake cure","misinformation"
"vaccines cause x","misinformation"
"election was stolen","misinformation"
"5g causes disease","misinformation"
"miracle cure","misinformation"
"hoax","misinformation"
"lies","misinformation"
"false statistic","misinformation"
"buy drugs","illegal_activity"
"how to make meth","illegal_activity"
"break-in","illegal_activity"
"hitman","illegal_activity"
"forged documents","illegal_activity"
"fake id","illegal_activity"
"evade taxes","illegal_activity"
"launder money","illegal_activity"
"distribute narcotics","illegal_activity"
"commit arson","illegal_activity"
